miasto,stacja,wskaznik,data,wartosc
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-09 23:00:00,8.1
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-09 22:00:00,7.1
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-09 21:00:00,5.8
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-09 20:00:00,5.5
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-09 19:00:00,6.1
Kraków,"Kraków, Aleja Krasińskiego",pył zawieszony PM2.5,2026-07-09 18:00:00,4.6
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-10 13:00:00,
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-10 12:00:00,12.5
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-10 11:00:00,
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-10 10:00:00,
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-10 09:00:00,
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-10 08:00:00,20.0
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-10 07:00:00,15.7
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-10 06:00:00,20.9
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-10 05:00:00,17.3
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-10 04:00:00,15.2
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-10 03:00:00,13.5
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-10 02:00:00,18.1
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-10 01:00:00,15.3
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-10 00:00:00,13.7
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-09 23:00:00,14.8
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-09 22:00:00,13.5
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-09 21:00:00,11.7
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-09 20:00:00,8.8
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-09 19:00:00,15.8
Kraków,"Kraków, ul. Bujaka",pył zawieszony PM10,2026-07-09 18:00:00,5.6
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-10 13:00:00,9.3
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-10 12:00:00,10.0
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-10 11:00:00,9.8
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-10 10:00:00,15.0
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-10 09:00:00,21.1
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-10 08:00:00,21.5
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-10 07:00:00,20.1
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-10 06:00:00,17.9
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-10 05:00:00,15.5
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-10 04:00:00,15.1
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-10 03:00:00,15.1
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-10 02:00:00,14.7
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-10 01:00:00,15.4
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-10 00:00:00,11.9
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-09 23:00:00,12.5
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-09 22:00:00,10.4
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-09 21:00:00,8.3
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-09 20:00:00,11.1
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-09 19:00:00,11.2
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM10,2026-07-09 18:00:00,11.8
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-10 13:00:00,3.3
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-10 12:00:00,3.6
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-10 11:00:00,3.5
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-10 10:00:00,5.9
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-10 09:00:00,11.0
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-10 08:00:00,11.9
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-10 07:00:00,12.3
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-10 06:00:00,10.9
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-10 05:00:00,9.4
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-10 04:00:00,9.3
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-10 03:00:00,8.8
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-10 02:00:00,8.6
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-10 01:00:00,8.0
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-10 00:00:00,6.7
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-09 23:00:00,6.4
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-09 22:00:00,5.0
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-09 21:00:00,4.3
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-09 20:00:00,4.6
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-09 19:00:00,4.9
Kraków,"Kraków, ul. Bulwarowa",pył zawieszony PM2.5,2026-07-09 18:00:00,4.5
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-10 13:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-10 12:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-10 11:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-10 10:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-10 09:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-10 08:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-10 07:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-10 06:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-10 05:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-10 04:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-10 03:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-10 02:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-10 01:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-10 00:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-09 23:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-09 22:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-09 21:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-09 20:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-09 19:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM10,2026-07-09 18:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-10 13:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-10 12:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-10 11:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-10 10:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-10 09:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-10 08:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-10 07:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-10 06:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-10 05:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-10 04:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-10 03:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-10 02:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-10 01:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-10 00:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-09 23:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-09 22:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-09 21:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-09 20:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-09 19:00:00,
Warszawa,"Warszawa, Al. Niepodległości",pył zawieszony PM2.5,2026-07-09 18:00:00,
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-10 13:00:00,
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-10 12:00:00,
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-10 11:00:00,9.1
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-10 10:00:00,7.9
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-10 09:00:00,6.6
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-10 08:00:00,12.5
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-10 07:00:00,10.4
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-10 06:00:00,6.7
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-10 05:00:00,5.6
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-10 04:00:00,4.9
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-10 03:00:00,4.7
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-10 02:00:00,4.9
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-10 01:00:00,5.4
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-10 00:00:00,7.3
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-09 23:00:00,7.0
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-09 22:00:00,6.5
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-09 21:00:00,14.1
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-09 20:00:00,26.7
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-09 19:00:00,13.8
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM10,2026-07-09 18:00:00,8.4
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-10 13:00:00,
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-10 12:00:00,
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-10 11:00:00,3.5
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-10 10:00:00,4.0
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-10 09:00:00,3.2
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-10 08:00:00,4.5
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-10 07:00:00,4.2
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-10 06:00:00,3.8
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-10 05:00:00,3.3
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-10 04:00:00,2.9
Warszawa,"Warszawa, ul. Tołstoja",pył zawieszony PM2.5,2026-07-10 03:00:00,2.7
